city,lon,lat
Boston,-71.0565,42.3555
New York City,-74.0060,40.7128
London,51.5074,-0.1278
Tokyo,35.6895,139.6917
Toronto,43.6511,-79.3470
Dubai,25.2760,55.2962
Mumbai,19.0760,72.8777
